text,stars,date
I didn t have a great experience here  I went to dinner here with my bf family and mine and the service was horrible  We ended up having   different servers and both of them sucked  The girl only check on us maybe one time  We sat there forever before anyone took our drink order  The list goes on and on    i picked this place because i heard amazing things about it but i dont see what the hype is ,2,2015-10-21
They have a cool huge outdoor pet friendly patio area with a bar  Very cool place to keep the fury kids and your screaming kids busy   The food is average  Some dishes are better than others  but overall just average beer drinking food  Their house beers are average    Service is hit and miss  but overall average   The is an average review for an average place  Not at the top of my to go list  but a decent place to hang out  be loud and drink with friends every once in a while   ,3,2017-09-13
We had our friends in town from Colorado and had a fabulous evening here  Our wait staff  Kelsey and Dan were awesome  We highly recommend this place to hang out  The food is delicious too ,5,2015-09-21
We went to OHSO for Mother s Day and had an awesome experience  I ve been to this location a few other times  and it s always been great  On Mother s Day  the wait for a table for our group was over an hour  but we were able to find a spot at the bar and enjoyed mimosas while we waited  I had my two little kids with me and the patio is the perfect spot for them to run around and check out all the dogs  I was really impressed with the service for how busy it was  and the food came out pretty fast and was great as well  I can t wait to go back ,5,2017-05-15
Just returned to San Diego after visiting my family  Awesome place  Excellent beers and atmosphere  Lots of space inside and outside  Games are also available to play  Dog friendly  We will be back  Highly recommend ,5,2018-06-28
You know the place has a nice ambience  It s quite a large place and there s plenty of seating  I had high hopes based on other reviews so i ordered a pitcher of beer  it was one of the local brews and was quite good  Decided to order the pork and rice skillet and it came piping hot  Unfortunately for me it seemed bland and probably needed more seasoning  Also  tried a couple of other items on the menu and was not impressed with those either    I would say great place to meet for drinks and watch a game but probably stay away from the food ,3,2017-01-14
Glad to have this place in the neighborhood as there is little else around that offers the fun casual atmosphere  I have had the chicken  and waffles for breakfast a couple times  The first time it was excellent  the second time not so much  Other items have been more consistent    Gripes  I love craft beer  but sometimes I like a simple light beer and I cant get one here   Also  people need to keep an eye on their children  Too many parents come to OHSO and just release their kids like it s a daycare playground ,4,2016-03-17
Pretty good food  Very small Happy Hour food plates  I like the feel  Beer was not cold and the service was fair  Still think you should try this place  Lots of fun games ,3,2017-01-14
What a great re use of former nursery in a starved local concept area  Not necessarily a fan of ohso arcadia other than great patio but kudos for pv  ,4,2016-11-01
Thank God for whoever FINALLY insisted that dogs are people too and should be allowed to dine with us  This is a great place to hang out with your friends  drink amazing beer and enjoy the moment  I met my son there a few weeks ago for dinner on a Friday evening and the place was packed  I think there had to be about two dozen dogs there too and it was so cool  They have a long trough in the yard with tap handles which pour out water for the dogs  The inside is pretty loud so your best bet is the patio especially if you do bring your dog  Can t wait to go back with my pup ,5,2016-06-28
I was disappointed with my experience  I have to go gluten free because of allergies so  I asked for my burger to be wrapped in lettuce  My burger came out with a piece of nasty romaine on top and then little pieces of romaine on the bottom  How is that a burger  I had to eat with a knife and fork  I m hesitant to go back  I probably will because everything tasted good but if I want a burger I ll go to in n out  They can wrap a burger in lettuce the correct way ,3,2015-05-12
Great service and great beer   Local selections as well as house brews and by the way the house brews are pretty damn tasty   Didn t try the food but everything I saw come out of their kitchen looked tasty as hell ,5,2017-06-09
A group of us went today for the all you can eat Hawaiian BBQ  the food was amazing  However  the downside was that it was next to impossible to get seconds  or thirds for those that were hungry  Service was so slooooow  Drinks were slow as well   I do like OSHO  but sometimes it s like waiting and watch a Sloth crossing the street  Ugh    We paid     each  never got more than one plate  Dang  big waste of money  There was much more on the menu that we could have eaten for a much better price and gotten full off of  Not worth the price for due to difficulty getting seconds ,3,2019-01-28
Great atmosphere    very friendly and inviting  Great space to sit and watch tv and drink beer    Food  not so much  Had a almost raw turkey burger with an awful side salad    Drink and be happy    don t eat ,3,2017-01-10
I moved to the area back in August and my boyfriend and I are big fans of breweries  so we have already been to several in the area  We have been to all three of the OHSO locations now after visiting the Paradise Valley location over the weekend    First of all  I will say that this is our FAVORITE of all three  Our second favorite is the Arcadia location  The menus are similar  a few differences in the brunch selections  and their beer offerings looked the same  However  the patio made this one stand out above the others  Cornhole  or bags  depending on where you are from   ping pong  and a place for your pup all underneath big fans and tons of misters    It was a perfect place for a        brunch and mimosa or    oz beer  We also had a few   oz samples for       of a few more beers we were interested in  Worth it   If you re going to go to only one of the OHSO locations  I definitely recommend this one    ,5,2015-06-15
Cool place Gloria is an awesome bartender very friendly food is good and love playing the games ,5,2017-11-07
Not surprising      awesome atmosphere with total potential but complete losers running the place   Rake it in while you can boys      no attention to detail  the servers share tips  Bernie Sanders style  wait a half hour for a cocktail or water  then another to order food  etc etc         year old protestor types managing other    year old protestor types  I would totally recommend visiting this establishment once so you can appreciate my review ,2,2017-02-25
This place has an awesome vibe to it  The beer selection is on point   its ideal for having some people with you to have a good time   catch up  However  every time I have ever gotten food here it takes ridiculously long  I came here the other day   ordered ONE entree   it literally took over an hour  All I ordered was Mac   cheese   it wasn t even that good   the service was meh  This place is also kinda pricey  So overall  if you want to come to a place for a beer with some friends then great otherwise  steer clear from ordering the food ,3,2019-03-02
This is the OHSO setup and patio by far   The lawn games make the wait for beer brunch super fun ,5,2015-04-02
A great place to hangout  The patio is amazing and has lots of games  When the weather is nice  it s the perfect place to just drink and chill for a few hours  The brunch on the weekends is very good and includes a beer or mimosa ,5,2017-04-06
I have been to many breweries over the years in Arizona alone and I can say that this is one of the most consistent places when it comes to beer and definitely food  Friendly servers and a really cool atmosphere  it is no secret as to why they are so popular  Lost Viking stout was one of the best Stouts I have had to this day  Definitely worth a shot if you ever get the chance  Only downside is that kids are left to do as they please and can sometimes be a nuisance  Overall a great place for a drink and eat ,4,2018-01-21
This place is great  Great food  great staff  Don t buy negative reviews from formerly employed pigs that got fired for stealing  Sasha seems to write a lot of petty yelps  Odd  considering she claims to be a service industry vet  Take some of the time you spend complaining about bartenders not smiling and run a lap ,5,2018-03-16
We ve been there about   times and the service is horrendous  We re big fans of the OHSO concept and love the other locations  but the owner really needs to get the staffing issues figured out at the Tatum Shea location  Food and atmosphere are great  but the poor service really ruins the experience ,2,2015-04-21
The concept is great and I foresee an improved rating down the road    At the moment  service is killing them  which is not unusual when a new location opens    The hostess stand seems overwhelmed and their fluster can start the experience in a less than stellar way    Of course everyone wants to sit outside this time of year  but because of service inefficiencies  it s not unusual for     to     of the tables to be vacant while the staff is trying to catch up    Beer selection is fine  but they are often out of some of the more popular choices  and they haven t had anything of their own yet on the times we have been there    Food has been good   And although the service is less than acceptable  the servers are friendly   Lots of great outside activities  wholesome family atmosphere ,3,2015-04-03
This place has a super cool concept  Patio  Brewery  Games  Dog friendly and good food  But maybe it is just too much going on  No reservations for    which is often a bummer because I hate waiting to eat and drink when there are a million places to eat   drink  I can bring my puppy to hang out with me on the patio      the outdoor seating is great  But there are way too many children on the weekends for a couple to have an enjoyable time    i think that if we had children it might be different for us  but really it just ended up being way too loud and too any kids running around basically unsupervised     The major plus is the DOG COOKIES for our puppy   he loves them ,3,2016-03-21
This is an update from my previous review  I went here yesterday for lunch  so obviously the place was not as packed as my last visit which was a Saturday night  Our waiter  Eric T  was awesome  Very attentive and knew the menu well  He was also sharing all sorts of cool info about Ohso  I got the salmon blt which was really good  Not as good as the one at Four Peaks  but definitely not far behind  My mom got a burger and said it was really good  Prices on beer were great during this time  I got a pitcher for     Overall  I m much happier with my second visit  Hopefully they ve worked out all of the kinks ,4,2015-06-19
The neighborhood needed a place like this  Great patio for a boozy day drinking spot  Food is hit or miss  Both times in  service was an issue  Server forgot parts of our order and one time the bartender completely forgot to order my to go food  I ll chalk it up to being a new restaurant  Beers are cold  so I m not complaining  Grab a pint  throw some bags and people watch ,3,2015-06-03
Good place to eat  Great salads and sweet potato fries  Wait staff very friendly and attentive  Have eaten sit down and takeaway  both options were fast ,5,2017-05-20
Best place in PV    Terry  the GM  orchestrated his venue like a true Maestro   What a great leader  Patrick is one of the best bartenders I ve had the pleasure of dealing with   ever   You would be doing yourself a favor if you tried this establishment out ,5,2015-12-07
I recently dined at this OHSO location with my husband  two toddlers and another family of four    we chose it because of the convenient location and the fact that the previous reviews raved about how kid friendly it is   Thank you Yelpers  you did not steer us wrong   The location was great because it was half way between where we live  Arcadia  and where our friends live  Desert Ridge    We met early on a Wednesday evening and didn t have to wait for a table    hooray   The kids made a mad dash to the outdoor cornhole area while we decided we d rather sit inside as it was a bit chilly   The staff didn t seem to mind our kids going back and forth  although we did make sure to always have an adult supervising   I noticed a few dogs dining with their families as well    good to know for those that like toting their pups around   We were able to enjoy the awesome happy hour pricing on beer and found the food to be moderately priced as well   I went with a burger that was great   The other adults went with some other burger variations and a salad  that was supposedly meh    Burgers are the way to go here   The kids had mac   cheese  chicken tenders  grilled cheese and turkey   All were pleased and they ate a decent amount  which isn t always the case     The wait staff was super accommodating of our requests as well   There really is something for everyone at this place   Wine  beer  TVs for sports fans  games for people to play outside  and a variety of food on the menu    I imagine it gets crowded in warmer weather  but hope that there will always be a spot for us when we return ,4,2016-01-05
Food is very good  service is good  and what a cool place  I love the patio  even with the dogs all over it s just a fun place to hang ,5,2015-12-07
Terrible  Hung out with my dog and girlfriend for the day  Thursday     pm  problem was that I could not reserve a table  they were booked for the night  Nor could I order food with all areas I sat in  two areas   Servers aimlessly walked by to take empty glasses yet said nothing to either of us  Empty tables indoors and out  but at least an hour long wait  Won t ever go back ,1,2015-04-03
Nice atmosphere  very similar to the Yard Culinary Dropout  but with slightly more agreeable prices   We ate here on a Sunday  and discovered their Sunday Hawaiian Luau  in which they offer a plate of different meats  pulled pork  BBQ pulled pork  and a chicken leg  and side of macaroni salad   a pineapple slice for around      with free refills on any item  Now that s a smokin  deal   A very nice setting to meet up with friends  and the kids can run around and have fun without bothering people  They also allow dogs  so expect to see plenty of them here too    They messed up our bill  but made no problems fixing it    All in all  a good experience ,5,2016-09-08
Atmosphere is great for a family micro brewery  Not much of a beer drinker myself so can t comment on the beer  The food on the other hand is delicious   especially liked the Sunday brunch  Recommend for family with kids as well   the outdoor patio gives them plenty of area and games to keep them busy ,4,2018-11-16
We really like OHSO   always consistent and you can bring your doggos  I can t bring mine as they are rotten   I love coming here for brunch and enjoying several bloody marys  because you have to try each one of their housemade vodkas    my preference is the horseradish vodka  and they have a swizzle stick that is spicy beef jerky and it doesn t get much better than that for me  They also pour a super strong and very reasonable mimosa  They always have great brew selections and the food is consistently good  I personally think their lunch menu is a bit pricey so thats why this place is mostly a brunch spot for me  But never disappointed when I visit OHSO ,5,2017-11-16
Food  beer and service were great  Very dog friendly  I got the carne asada and shrimp tacos  split with a friend   The shrimp could have had a little better flavor but still delicious  Beer is always amazing there ,4,2019-03-04
Read many  but not all     plus reviews  Great atmosphere  good food  larger portions would have been nice   Prices not too expensive  Staff very friendly  Will probably be back  EXCELLENT BEER ,4,2016-08-11
Opened an hour early   am  for the World Cup yet have no sound   No sound for a final game that is literally on every TV in the bar  Are you kidding    You have a packed bar  inside and out  with fans trying to support our country s team  that came to your brewery specifically to watch this game because you advertised you would be opening for the game  Once we were there it was too late to go to another bar with sound  we d miss the whole game    No sound for a game you advertised for  And zero effort to try to get sound despite requests for multiple customers in the bar   No coffee brewed  We drove    minutes to get to this location because we through the game vibe would be fantastic  however we were seriously disappointed  Will never go here for another sporting event ,1,2019-07-07
My husband and I came to this location for lunch yesterday and we found our experience to be odd  The location is beautiful and this one obviously does well  there were so many people here  We checked in  and the hostess who took us back seemed to have no personality  and came off very rude  She sat us in a booth with a table that barely allowed you to scoot into the booth    We waited about    minutes before our server checked in with us  we ordered drinks while we were still deciding on what we wanted to order  We loved the decorations on the inside and the fact that there is a couples tour for     for their distillery    The food was good  my husband ordered the chorizo breakfast tacos that came with an odd salad   looked more like a garnish  I ordered a turkey burger which was very bland  The fries that came with it were good but oddly were soggy    I think we d come back and try again but a different location  just weird with the servers not being super friendly and the food being good but not great ,3,2019-01-22
Have come here many times since we discovered it  I love that they love dogs  The popsicle blonde beer is light  refreshing and perfect for summer  The apps are delicious  the entrees can be hit or miss but I d definitely recommend this place ,5,2019-08-22
Oh no  I am one of the few disappointed with OHSO  Most people really seem to enjoy it   We came for Sunday brunch so I tried to keep in mind that it s a busy time  so judge accordingly  But it was just one misstep after another  They gave us a wait time but I noticed several people who arrived after us were being seated  Turns out they hadn t recorded my husband s name and information  Our server was very nice but had to be asked multiple times for things  and she really wasn t around if we were searching for her  My burger was missing its bacon  I might have asked them to bring some out but it was too hard to locate our waitress  The food was decent but our burgers were cooked medium rare  that look when you wonder if it s  too  undercooked    I think if I owned a dog and could enjoy all they offer for your pup  I might have enjoyed my visit more  As it stands  I feel it s a case of been there  done that   no need to come back ,3,2019-09-02
I love them  but I don t have a dog  I enjoy beer  and I even wait in line for craft beer releases  I like breakfast food    a lot  For me  this place is a solid      and I ll give them the round up to    That s not a bad review  but it means I won t necessarily be making a special trip to come back    I d heard several good things about this place and we were in the neighborhood at a meal time  so we figured we would give it a shot  It was pretty busy  and we did have to wait a bit  That s to be expected on a  brunch  day holiday and is one reason I typically stay at home for breakfast   Their brunch specials come with a   oz beer or a  monster  mimosa  I don t typically drink for breakfast    I just never got into that    but the beer I had with my biscuits and gravy was good  It was a porter with a hint of sweetness that nicely complemented the spice in the gravy    I enjoyed the biscuits and spicy gravy  with an  X  of bacon on top and the added over medium eggs  The portion was in the  Goldilocks zone   neither too large nor too small    The place was smaller inside than I thought it would be    most of the space being taken up by the bar    but the outside  including the game area  was quite spacious ,4,2019-09-04
I love their brunch         gets you a drink and a meal  yes please  I got the green chile breakfast bowl  it was so good  I have also been here for happy hour and I loved their Jalopeno martini ,5,2015-07-17
I always love me a good brewery  Really cool that they have a large dog friendly patio  Came here for an early dinner around       Burger was good  Beer was good  Great place to come visit for a cold one ,4,2019-10-12
Great place  cool vibe  Food is excellent  I ordered the Az burger and my Wife ordered the highly recommended Pork Skillet  Although my burger was indeed top notch  the Pork skillet is insane  Had our waitress not have been so convincing we would have never given it  a second glance as we had already passed over it on the menu  It needs a different name  A dish titled  Pork Skillet  seems so blah  Regardless it was incredible  Do yourself a solid and order it  We ll have it again when we return  and return we will ,4,2019-01-02
We ve been to the Arcadia location and were excited when OHSO opened up another location further north  So glad something finally went into this space in the Whole Foods Trader Joe s shopping center  It s been empty for years  We waited several weeks after it opened before trying it as we know that no matter how experienced restaurant owners are  it always takes time for the staff to gel and work out the kinks   We stopped in mid afternoon one Saturday  and there was still a    minute wait for a table  Lucky us  though  a couple of seats opened up at the bar  We only wanted a starter and drinks  so we ordered the Baja Shrimp cocktail  Bloody Mary and a Piehole Porter   The shrimp cocktail is billed as  sharing for    but that seems a stretch  Plenty of chips  but skimpy on the shrimp cocktail portion  It was very flavorful  The Bloody Mary was absolutely the best ever  Oh  So good  It comes with a stick of homemade beef jerky instead of the standard celery stalk  Normally this would not impress me as I have never liked jerky   I just don t get it  I guess  But I m here to tell you that you will never  I repeat  never  have any other beef jerky that tastes this good  Oh  My  Gosh  It is so delicious  And no  you can t just buy it separately  dang   The Porter was good  too bad so said   it doesn t come with a piece of beef jerky     Bartender was attentive   and super busy  The interior of the restaurant is small  but the outside seating is big with lots of orange lanterns  Corn hole games and dog friendly  how fun can it be for a dog  though  Why people feel the need to go out drinking with their pet is still a concept I have yet to grasp   but that s a topic for another place    We ll be back for a full meal one of these days  and we ll definitely be back for a bloody mary ,4,2015-05-12
Best dog friendly spot in the valley  They have   locations  but I prefer this one due to the atmosphere and amount of space for furry friends on the patio  They brew their own beer  which is super tasty   and use the leftover barley and wheat to make dog treats that they give to your dogs for free every time you visit  They also have clips on the end of each table so your pups don t wander  We really enjoy playing the fun games they have like cornhole and ping pong  And I cannot forget to mention the amazing food  My two favs are the breakfast bowl for brunch  gotta add steak   and the AZ burger for lunch dinner  If you re there during brunch on the weekend you get a beer or mimosa with your brunch too  Great deal  I also heard they started making their own vodka  I haven t had the pleasure of trying it yet  but I will be there soon for a taste ,5,2017-01-13
